animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead,start_hour,start_min,minutes_past_L
180530-02-top,45.773999999999994,46,559,6.6,naive_100ul_left_indole_10mM,no,180525,10:15,10:30,m,no,10,15,90
180530-03-bottom,49.663999999999994,50,550,7.2,naive_100ul_left_indole_10mM,no,180525,10:50,11:05,f,no,10,50,125
180530-03-top,37.95,38,545,5.6,naive_100ul_left_indole_10mM,no,180525,10:50,11:05,f,no,10,50,125
180530-04-bottom,45.708,46,556,6.6,naive_100ul_left_indole_10mM,no,180525,11:25,11:40,m,no,11,25,160
180530-04-top,43.863,44,556,6.3,naive_100ul_left_indole_10mM,no,180525,11:25,11:40,m,no,11,25,160
180530-05-bottom,42.898,43,547,6.3,naive_100ul_left_indole_10mM,no,180525,12:50,13:05,m,no,12,50,245
180530-05-top,43.832,44,549,6.4,naive_100ul_left_indole_10mM,no,180525,12:50,13:05,m,no,12,50,245
180530-06-bottom,43.026,43,548,6.3,naive_100ul_left_indole_10mM,no,180525,13:25,13:40,m,no,13,25,280
180530-06-top,45.277,45,547,6.6,naive_100ul_left_indole_10mM,no,180525,13:25,13:40,m,no,13,25,280
180530-07-bottom,44.525,45,536,6.6,naive_100ul_left_indole_10mM,1day,180525,14:55,15:10,f,no,14,55,370
180530-07-top,39.369,39,556,5.7,naive_100ul_left_indole_10mM,1day,180525,14:55,15:10,m,no,14,55,370
180530-08-top,44.635,45,557,6.4,naive_100ul_left_indole_10mM,1day,180525,15:30,15:45,f,no,15,30,405
180530-09-bottom,41.11,41,547,6.0,naive_100ul_left_indole_10mM,1day,180525,16:05,16:20,f,no,16,5,440
180530-09-top,43.303999999999995,43,551,6.3,naive_100ul_left_indole_10mM,1day,180525,16:05,16:20,m,no,16,5,440
180530-10-bottom,42.793,43,534,6.4,naive_100ul_left_indole_10mM,1day,180525,16:40,16:55,m,no,16,40,475
180530-10-top,42.573,43,559,6.1,naive_100ul_left_indole_10mM,1day,180525,16:40,16:55,m,no,16,40,475
180531-01-bottom,38.968,39,529,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,15:15,15:30,m,no,15,15,390
180531-01-top,38.917,39,547,5.7,naive_100ul_left_yeastRNA_1gL,1day,180526,15:15,15:30,m,no,15,15,390
180531-02-bottom,40.265,40,544,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:10,16:25,m,no,16,10,445
180531-02-top,40.205999999999996,40,545,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:10,16:25,f,no,16,10,445
180531-03-bottom,39.601,40,534,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:45,17:00,m,no,16,45,480
180531-03-top,41.012,41,556,5.9,naive_100ul_left_yeastRNA_1gL,1day,180526,16:45,17:00,f,no,16,45,480
180601-01-bottom,37.635999999999996,38,538,5.6,naive_100ul_left_yeastRNA_1gL,1day,180531,10:32,10:47,m,no,10,32,107
180601-02-bottom,40.311,40,533,6.1,naive_100ul_left_yeastRNA_1gL,1day,180531,11:05,11:20,m,no,11,5,140
180601-03-bottom,37.577,38,541,5.6,naive_100ul_left_yeastRNA_1gL,1day,180531,11:45,12:00,m,no,11,45,180
180601-03-top,43.931999999999995,44,557,6.3,naive_100ul_left_yeastRNA_1gL,1day,180531,11:45,12:00,f,no,11,45,180
180601-04-bottom,40.771,41,536,6.1,naive_100ul_left_yeastRNA_1gL,1day,180531,12:35,12:50,m,no,12,35,230
180601-04-top,44.503,45,561,6.3,naive_100ul_left_yeastRNA_1gL,1day,180531,12:35,12:50,m,no,12,35,230
180601-05-bottom,41.067,41,532,6.2,naive_100ul_left_yeastRNA_1gL,1day,180531,13:10,13:25,m,no,13,10,265
180601-05-top,40.650999999999996,41,558,5.8,naive_100ul_left_yeastRNA_1gL,1day,180531,13:10,13:25,m,no,13,10,265
180601-06-bottom,33.135999999999996,33,529,5.0,naive_100ul_left_yeastRNA_1gL,1day,180531,13:45,14:00,m,no,13,45,300
180601-06-top,41.1,41,560,5.9,naive_100ul_left_yeastRNA_1gL,1day,180531,13:45,14:00,m,no,13,45,300
180601-07-bottom,44.5,45,546,6.5,naive_100ul_left_yeastRNA_1gL,1day,180531,14:20,14:35,f,no,14,20,335
180601-07-top,41.4,41,548,6.0,naive_100ul_left_yeastRNA_1gL,1day,180531,14:20,14:35,m,no,14,20,335
180608-01-bottom,46.481,46,544,6.8,naive_100ul_left_yeastRNA_1gL,no,180603,10:50,11:05,m,no,10,50,125
180608-01-top,41.575,42,546,6.1,naive_100ul_left_yeastRNA_1gL,no,180603,10:50,11:05,m,no,10,50,125
180608-02-bottom,39.906,40,535,6.0,naive_100ul_left_yeastRNA_1gL,no,180603,11:25,11:40,m,no,11,25,160
180608-02-top,43.073,43,559,6.2,naive_100ul_left_yeastRNA_1gL,no,180603,11:25,11:40,m,no,11,25,160
180608-03-bottom,43.96,44,546,6.4,naive_100ul_left_yeastRNA_1gL,no,180603,12:00,12:15,m,no,12,0,195
180608-03-top,43.732,44,549,6.4,naive_100ul_left_yeastRNA_1gL,no,180603,12:00,12:15,m,no,12,0,195
180608-04-bottom,44.051,44,549,6.4,naive_100ul_left_yeastRNA_1gL,no,180603,13:22,13:37,m,no,13,22,277
180608-04-top,41.163999999999994,41,550,6.0,naive_100ul_left_yeastRNA_1gL,no,180603,13:22,13:37,m,no,13,22,277
180608-05-bottom,40.746,41,536,6.1,naive_100ul_left_yeastRNA_1gL,no,180603,13:57,14:12,m,no,13,57,312
180608-05-top,40.577,41,559,5.8,naive_100ul_left_yeastRNA_1gL,no,180603,13:57,14:12,m,no,13,57,312
180608-06-bottom,45.011,45,537,6.7,naive_100ul_left_yeastRNA_1gL,no,180603,14:32,14:47,f,no,14,32,347
180608-06-top,45.7,46,559,6.5,naive_100ul_left_yeastRNA_1gL,no,180603,14:32,14:47,m,no,14,32,347
180608-07-bottom,46.907,47,548,6.8,naive_100ul_left_yeastRNA_1gL,no,180603,16:05,16:20,f,no,16,5,440
180608-07-top,49.739,50,558,7.1,naive_100ul_left_yeastRNA_1gL,no,180603,16:05,16:20,f,no,16,5,440
180608-08-bottom,42.714,43,548,6.2,naive_100ul_left_yeastRNA_1gL,no,180603,16:40,16:55,m,no,16,40,475
180608-08-top,35.672,36,549,5.2,naive_100ul_left_yeastRNA_1gL,no,180603,16:40,16:55,m,no,16,40,475
180608-09-bottom,44.028,44,541,6.5,naive_100ul_left_yeastRNA_1gL,no,180603,17:15,17:30,f,no,17,15,510
180608-09-top,37.313,37,556,5.4,naive_100ul_left_yeastRNA_1gL,no,180603,17:15,17:30,m,no,17,15,510
180608-10-bottom,48.479,48,550,7.1,naive_100ul_left_yeastRNA_1gL,no,180603,17:50,18:05,f,no,17,50,545
180608-10-top,39.013000000000005,39,552,5.7,naive_100ul_left_yeastRNA_1gL,no,180603,17:50,18:05,m,no,17,50,545
180612-01-bottom,37.656,38,542,5.6,naive_100ul_left_food_extract,no,180607,13:30,13:45,m,no,13,30,285
180612-01-top,46.543,47,548,6.8,naive_100ul_left_food_extract,no,180607,13:30,13:45,m,no,13,30,285
180612-02-bottom,43.661,44,536,6.5,naive_100ul_left_food_extract,no,180607,14:05,14:20,f,no,14,5,320
180612-02-top,45.547,46,557,6.5,naive_100ul_left_food_extract,no,180607,14:05,14:20,m,no,14,5,320
180612-03-bottom,37.62,38,544,5.5,naive_100ul_left_food_extract,no,180607,14:40,14:55,m,no,14,40,355
180612-03-top,42.426,42,549,6.2,naive_100ul_left_food_extract,no,180607,14:40,14:55,f,no,14,40,355
180612-04-bottom,41.967,42,548,6.1,naive_100ul_left_food_extract,no,180607,15:15,15:30,m,no,15,15,390
180612-04-top,49.518,50,553,7.2,naive_100ul_left_food_extract,no,180607,15:15,15:30,m,no,15,15,390
