1933.5,5529,23597
15405.5,45761.5,62669.5
6124.5,36135.5,69457.5
19006.5,2163,19412.5
7690.5,23210.5,17777.5
22164.5,8566.5,30217.5
7151,57630,5626.5
14528,7205,15056
2625,10830.5,27576.5
3032,1861,5958
3856,37890,11945.5
21437,16282.5,145419.5
5798,20918.5,172262.5
23444,6220.5,4921.5
28687.5,6815,42532
10909.5,38927,4537
5337,3115.5,38873
3183.5,27946,46461
3086,2348.5,58614
3500.5,23582.5,20840
9667,5414,0.5
952.5,33438,6164.5
24662,13711.5,64021
6894.5,12521,28980.5
1795,29551.5,62960
3698.5,5047.5,3670.5
5030.5,28042.5,41143.5
2720,2285.5,197881
1550.5,1024.5,37771.5
5656,49722.5,5601
5584,901,4426
6884,24313,37084
1403.5,29610,138591.5
2938.5,24544,41522
6030.5,6189,0.5
1825.5,2194.5,12331.5
7852.5,19637,25203
0.5,29664.5,28546.5
3250,7353.5,16929
4893.5,14549.5,140902
3231.5,17562.5,197293
4762,1991,390.5
5024.5,4434,0.5
14100,17169,35270
8448,1169.5,24442.5
8866.5,1399.5,15097
8920.5,13468.5,42383.5
0.5,9223.5,5959
15521.5,0.5,5879.5
18076.5,22466,5120
7670,3917,53961.5
3759.5,0.5,0.5
11456,9156,41493
2399,2499,4382.5
20570,6903,28541
2538,3720,19089
3094.5,11283.5,71234.5
3246,26879.5,12.5
3643,44654,2553
7032,44138.5,19885.5
4177,20776.5,19087
11486.5,29050,58551.5
5925.5,12443.5,5363
3781.5,8707,6277
2374.5,5703,16555.5
4706.5,6821.5,74100.5
2910,7977,7012
3596.5,9817,16993.5
39.5,5518,17249.5
2530,1768,33874.5
5157,5874.5,50222.5
2640.5,6936.5,60840
5851,2489,5217.5
1152.5,7308,0.5
10275.5,1940.5,30752.5
2806.5,3940.5,98990
6929,16139.5,25620
3575,22494.5,6851
2732.5,8744.5,1804.5
13648.5,2999,7600
6909.5,17916.5,10884
1226,11767.5,25200.5
9596,14353.5,26418
4807.5,48250,6456
4250.5,6650,112180
4496,11784,9677.5
6079.5,3211,29969
2471.5,5631,43145
830.5,3104,2489
1516.5,3743.5,31251.5
3662,26402.5,11781
7117,3249.5,33105.5
2543,3511.5,17128.5
5624,10738,36571
6273,28032.5,11342.5
2881,41025,5990
7180.5,4219,16072.5
3807,45317,57120
5858.5,43221.5,6786.5
6061.5,22996.5,35277.5
5092,3584.5,15814
8370.5,20232,19840
8443.5,6058,20001.5
3367,17331.5,11401
2235.5,2088,4615.5
12596,29424,7916
3141.5,7425,40506
4838.5,4037.5,26618
2828.5,46251,37478
0.5,660,30493.5
5026.5,6129.5,9343.5
3541.5,13731,105567.5
9832.5,6252.5,89767.5
1718.5,28412,3309.5
3364,5994.5,33465
12496,32490,100668
10081,16050,7502.5
5552.5,46131.5,37449
17404.5,30705.5,49508
5713.5,0.5,97818
3058,936,83174
8941,14352,36679
927,6961,23753.5
2959.5,8645.5,51266
1750.5,1793,24864
2167,4085.5,0.5
4984,28361.5,32997
4267,9821.5,101766.5
1318,15220,53623.5
279.5,40369,33298.5
2850.5,0.5,28495
973,3701.5,13468.5
3095.5,5810,77421.5
6050.5,2654.5,6332.5
3080,1169.5,9292.5
3207,12784.5,3374.5
4444,10479,25666.5
4945.5,9859,14035
4708.5,17497.5,26410.5
4598,9536.5,34488.5
4767,6301,40428
9005,18520,92580.5
6026.5,29936.5,36858
6887,32140,68405.5
6537,13604,51701
5103,6162.5,1158
6963.5,33570.5,0.5
1554,8629,60647.5
14039,39916,31489.5
6631.5,6489.5,28821
