animal_ID,treatment_odor,larvae_length_mm,minutes_past_L,starved,sex,median_conc,median_speed,time_move,time_wall,bins_per_distance,discovery_time,cd_move,cd_speed,c_speed,cd_turn,c_turn
170605-11-top,naive_100ul_left_o-cresol_100uM,6.3,500,no,m,19.02520833333334,0.5006448858013391,0.3437152391546162,0.6129032258064516,0.5656414059160487,197.0,-0.10810810810810811,0.05777583672011222,-0.04660152282258473,0.018662232076866236,0.0835303388494878
170607-02-bottom,naive_100ul_left_o-cresol_100uM,5.2,26,no,m,3.266,0.6217573008090278,0.37486095661846497,0.41379310344827586,0.46902193291578337,69.0,-0.05726872246696035,0.09429590245309516,0.1285081376317122,0.026401869158878433,-0.026873019852756808
170607-02-top,naive_100ul_left_o-cresol_100uM,5.8,26,no,m,1.263125,0.5737694897218855,0.10901001112347053,0.8220244716351501,0.5610469435665294,900.0,0.13513513513513514,-0.19763464783114681,-0.5737694897218855,-0.19940476190476192,-0.5408163265306123
170607-03-bottom,naive_100ul_left_o-cresol_100uM,6.8,62,no,f,10.83425,0.683470996297649,0.67982212340189,0.7181767648693719,0.24556367240162566,24.5,-0.022530329289428077,0.07936382084248217,-0.01763785027579412,-0.035689385743478796,0.15748580950893087
170607-03-top,naive_100ul_left_o-cresol_100uM,6.5,62,no,f,2.2549166666666665,0.5416194431369454,0.6167964404894327,0.5650723025583982,0.31981242074355315,2.0,0.03980099502487562,-0.030619689092346025,-0.1328896518837926,-0.03934353075340258,-0.006864484551850736
170607-04-bottom,naive_100ul_left_o-cresol_100uM,6.0,100,no,m,3.5079583333333333,0.7231875128639457,0.5216907675194661,0.5328142380422692,0.283073994027839,386.5,0.06575963718820861,-0.028142274378840648,-0.007069444114018997,-0.02119396818839081,0.09923144488361879
170607-04-top,naive_100ul_left_o-cresol_100uM,5.9,100,no,f,30.803083333333333,0.8681463131921696,0.47664071190211343,0.628476084538376,0.27522555312410824,136.0,0.01845018450184502,-0.07066443906574571,-0.16273326552770706,-0.08156260215756783,0.013197665718988505
170607-05-bottom,naive_100ul_left_o-cresol_100uM,6.7,135,no,f,17.927541666666666,0.5807341361372416,0.4610678531701891,0.5723025583982202,0.3534923295703566,5.5,-0.022556390977443608,-0.0025108479340235634,-0.06054761385418461,-0.04607843137254902,-0.03171216329111065
170607-05-top,naive_100ul_left_o-cresol_100uM,6.3,135,no,f,21.815375,0.9521319790241931,0.7541713014460512,0.6290322580645161,0.1622104526695697,2.0,-0.037628278221208664,0.12948859210001817,-0.009193900016839729,-0.05742930055726264,0.09868808342443863
170607-06-bottom,naive_100ul_left_o-cresol_100uM,5.0,305,no,m,3.557166666666667,0.81244340175778,0.3131256952169077,0.5305895439377085,0.33282478700949075,113.5,-0.008264462809917356,0.07721124080479247,0.5737019111526791,-0.025000000000000022,-0.04168096054888509
170607-06-top,naive_100ul_left_o-cresol_100uM,6.6,305,no,m,1.542,0.5743952759214855,0.3576195773081201,0.6535038932146829,0.39684248727272725,877.0,0.025,0.0309738965948978,0.17004363518512855,-0.2048155096935585,-0.19384546271338726
170607-07-bottom,naive_100ul_left_o-cresol_100uM,6.6,345,no,m,19.036083333333334,0.7653397111354935,0.5611790878754171,0.721357063403782,0.23423332148282425,134.0,-0.030497592295345103,0.0759304814734093,-0.10943719040470368,-0.013121247756390397,-0.009958408698406862
170607-07-top,naive_100ul_left_o-cresol_100uM,6.4,345,no,m,20.461666666666666,1.5391367224453278,0.6466332776850306,0.5909849749582637,0.15432656484004217,52.0,0.011320754716981131,0.04931114838203232,-0.20266130094460766,-0.08943830465990657,0.12657577418470817
170607-08-bottom,naive_100ul_left_o-cresol_100uM,6.1,380,no,m,3.8840000000000003,0.9311515591431323,0.5656284760845384,0.5200222469410456,0.2135252653634382,148.0,0.03807615230460922,-0.038399380697933694,0.3388135761090372,-0.06948198198198197,-0.04729132019390675
170607-08-top,naive_100ul_left_o-cresol_100uM,5.2,380,no,f,20.128958333333333,0.8125449689375838,0.5795328142380423,0.5472747497219133,0.27696248629853226,74.0,-0.05794392523364486,0.13142938768299772,-0.038362865637413535,-0.05416736777160808,0.042553776750838934
170607-09-bottom,naive_100ul_left_o-cresol_100uM,6.1,415,no,f,30.20725,0.8125069369757577,0.44493882091212456,0.6690767519466073,0.24029590879170654,51.5,0.010615711252653927,0.06985343770190067,-0.35357728136559974,-0.07741551556244813,0.10715760328370533
170607-09-top,naive_100ul_left_o-cresol_100uM,7.2,415,no,f,1.2016666666666667,0.49018860792604896,0.2664071190211346,0.9015572858731924,0.36613010151610276,817.0,0.021897810218978103,0.03373317659777364,0.0369102994655659,-0.11002132196162046,-0.15531732418524874
170801-01-bottom,naive_100ul_left_indole_100uM,5.8,125,1day,f,28.711458333333333,0.6807226226804636,0.6957730812013349,0.3359288097886541,0.31608368277489857,11.5,-0.005012531328320802,0.03739992550980131,-0.04610268778037707,-0.042657839029629996,0.015004001863554328
170801-01-top,naive_100ul_left_indole_100uM,6.3,125,1day,f,12.663416666666668,0.45745709591365524,0.528071150639244,0.3818788215675375,0.4452667959634422,236.5,0.018691588785046728,-0.0715012849318587,0.009275294784234667,-0.10773263433813896,0.1045779800863702
170801-02-bottom,naive_100ul_left_indole_100uM,6.4,155,1day,f,39.32233333333333,0.47399061392896413,0.25125069483046136,0.7420789327404114,0.5170172392995617,299.0,0.08292682926829269,0.013048715920007004,-0.02275162860719504,-0.09047345217557984,0.030296544671945924
