animal_ID,treatment_odor,larvae_length_mm,minutes_past_L,starved,sex,median_conc,median_speed,time_move,time_wall,bins_per_distance,discovery_time,cd_move,cd_speed,c_speed,cd_turn,c_turn
170523-04-top,naive_100ul_left_quinine_10mM,5.0,80,no,m,11.738833333333332,1.286867287673679,0.18242491657397109,0.42825361512791993,0.3417002886636815,158.0,0.019801980198019802,0.011880993423595498,0.06174526570591765,0.027851328822202592,-0.026692209450830118
170523-05-bottom,naive_100ul_left_quinine_10mM,6.7,115,no,f,6.7787500000000005,0.8192830757970618,0.4560622914349277,0.739154616240267,0.24677258569682722,377.5,-0.06097560975609756,0.15430408454640498,-0.04283356587464848,-0.050306015823257166,0.022591021536130018
170523-05-top,naive_100ul_left_quinine_10mM,6.0,115,no,f,11.39075,1.0104676597160733,0.5739710789766407,0.5411568409343716,0.20848759852773074,1.0,-0.013468013468013467,-0.07368695744218101,-0.05657001801464834,-0.06667195809191206,0.10535473611398338
170523-06-bottom,naive_100ul_left_quinine_10mM,6.7,150,no,f,26.031666666666666,1.3236401568699891,0.600111234705228,0.7041156840934372,0.152798463742618,19.0,-0.019548872180451128,0.0679317319614654,-0.5134907978941758,-0.04182275548799247,-0.06522607901347344
170523-06-top,naive_100ul_left_quinine_10mM,5.3,150,no,m,13.167166666666667,1.4977614339990826,0.3596442468037799,0.4324624791550862,0.2341147722823833,15.0,0.03324808184143223,-0.07228688323703802,0.10917465487968347,-0.0576248101000576,0.012143976403355183
170523-07-bottom,naive_100ul_left_milliQ_water,6.1,275,no,m,10.374583333333334,0.5797601576670128,0.5812013348164627,0.5339265850945495,0.35355823283625365,1.0,0.050997782705099776,-0.06953490487978464,0.10652425553879252,-0.11648724318782283,0.19953020723568665
170523-07-top,naive_100ul_left_milliQ_water,5.6,275,no,f,4.439,0.9758204469796334,0.6123470522803115,0.6418242491657397,0.18681002817073816,248.0,-0.009416195856873822,0.08738394996342391,0.2919778361261406,-0.03565348164122356,0.0926386013342535
170523-08-bottom,naive_100ul_left_milliQ_water,6.4,315,no,f,44.416,0.5603880777121553,0.3807670928293496,0.5814341300722624,0.3441083868062024,21.5,0.015250544662309368,0.018532843126625398,-0.1476508410930396,0.012723612746401325,0.02963298837085243
170523-08-top,naive_100ul_left_milliQ_water,6.3,315,no,f,13.81,0.6133497530032825,0.47804335742078935,0.42579210672595885,0.38561165636862216,53.0,-0.008733624454148471,-0.03627694631792677,-0.11470239706091068,-0.05328298720369201,0.07887323943661972
170523-09-bottom,naive_100ul_left_milliQ_water,6.1,350,no,m,6.214458333333334,0.8471853047323362,0.3153503893214683,0.39265850945494996,0.30762162799895115,5.0,0.048,-0.08540195681687912,-0.07995321312308479,-0.020976329463082977,0.12011124630627501
170523-09-top,naive_100ul_left_milliQ_water,6.8,350,no,f,22.285583333333335,0.9325559421082197,0.3809788654060067,0.6868743047830923,0.24053341563924535,128.5,-0.0047169811320754715,0.08958575350295095,-0.06850410966317977,-0.048261130765636484,0.08137894053565886
170523-10-top,naive_100ul_left_milliQ_water,5.7,385,no,m,55.379999999999995,0.6573837165882773,0.16518353726362625,0.7397107897664071,0.419065884639539,9.5,0.037383177570093455,0.028252750828626993,-0.33360826871291727,-0.02116679786582698,0.11061705989110704
170523-11-top,naive_100ul_left_food_05percent,5.7,465,1day,m,4.96125,0.6107314887953303,0.5228031145717463,0.5333704115684094,0.3701590481031279,80.0,0.043256997455470736,-0.012778609676744823,-0.023486059256493497,-0.01977166580176437,0.0
170523-12-bottom,naive_100ul_left_food_05percent,5.5,500,1day,f,21.99958333333333,0.9827348862549823,0.6892718176764869,0.4591439688715953,0.22182672283920057,19.5,0.005154639175257732,-0.002021906196246759,-0.23331133819957994,-0.012714228776404934,0.09671914965786255
170523-12-top,naive_100ul_left_food_05percent,6.3,500,1day,f,20.700875,0.6014094704327144,0.6134593993325917,0.4783092324805339,0.33646873887984124,9.0,-0.014492753623188406,-0.037597247400688816,0.005196979675320068,-0.04361344537815126,0.04196460816179126
170524-03-bottom,naive_100ul_left_quinine_10mM,6.6,25,no,m,51.86541666666667,0.4509175533759486,0.13014460511679643,0.5489432703003337,0.7556669737057786,86.5,0.02631578947368421,0.049970896712295265,0.0987561672356645,0.047124047124047164,-0.08754208754208759
170524-03-top,naive_100ul_left_quinine_10mM,5.2,25,no,m,1.4845833333333336,0.5282581491946233,0.15517241379310345,0.6078976640711902,0.5344263194653768,900.0,-0.15789473684210525,0.1221276962206711,-0.5282581491946233,-0.02840909090909094,-0.5806451612903226
170524-06-top,naive_100ul_left_quinine_10mM,6.4,130,no,m,3.321791666666667,0.6660619169008306,0.36763070077864296,0.60734149054505,0.36289789816547713,3.0,0.0958904109589041,-0.057957716033856355,0.19953778608424189,-0.21515151515151515,-0.09944703646103337
